label,nb_visits,growth_percent,growth_percent_numeric,grown,value_old,value_new,difference,importance,isDisappeared,isNew,isMover,isMoverAndShaker
A,4,100%,100,1,0,4,4,4,0,1,0,0
alter,14,100%,100,1,0,14,14,14,0,1,0,0
Alter,9,100%,100,1,0,9,9,9,0,1,0,0
Altersstruktur,4,100%,100,1,0,4,4,4,0,1,0,0
arbeit,7,100%,100,1,0,7,7,7,0,1,0,0
Arbeitsplätze,4,100%,100,1,0,4,4,4,0,1,0,0
archivin,4,100%,100,1,0,4,4,4,0,1,0,0
ausländeranteil,7,100%,100,1,0,7,7,7,0,1,0,0
ausländische,6,100%,100,1,0,6,6,6,0,1,0,0
Auswan,8,100%,100,1,0,8,8,8,0,1,0,0
Auswander,4,100%,100,1,0,4,4,4,0,1,0,0
Auswanderer,4,100%,100,1,0,4,4,4,0,1,0,0
B,10,100%,100,1,0,10,10,10,0,1,0,0
bauland,5,100%,100,1,0,5,5,5,0,1,0,0
Bauland,9,100%,100,1,0,9,9,9,0,1,0,0
Be,6,100%,100,1,0,6,6,6,0,1,0,0
beschäftigte,4,100%,100,1,0,4,4,4,0,1,0,0
Beschäftigte,5,100%,100,1,0,5,5,5,0,1,0,0
beschäftigung,4,100%,100,1,0,4,4,4,0,1,0,0
Bev,5,100%,100,1,0,5,5,5,0,1,0,0
Bevö,5,100%,100,1,0,5,5,5,0,1,0,0
Bevölkerung,14,100%,100,1,0,14,14,14,0,1,0,0
bevölkerung,33,100%,100,1,0,33,33,33,0,1,0,0
bezirk,6,100%,100,1,0,6,6,6,0,1,0,0
bezirke,4,100%,100,1,0,4,4,4,0,1,0,0
Bezirksrat horgen,6,100%,100,1,0,6,6,6,0,1,0,0
Bezirksrat,4,100%,100,1,0,4,4,4,0,1,0,0
bildung,4,100%,100,1,0,4,4,4,0,1,0,0
BIP,4,100%,100,1,0,4,4,4,0,1,0,0
bodenpreise,6,100%,100,1,0,6,6,6,0,1,0,0
Bodenpreise,7,100%,100,1,0,7,7,7,0,1,0,0
bülach,8,100%,100,1,0,8,8,8,0,1,0,0
c,11,100%,100,1,0,11,11,11,0,1,0,0
co,11,100%,100,1,0,11,11,11,0,1,0,0
cor,5,100%,100,1,0,5,5,5,0,1,0,0
Coro,4,100%,100,1,0,4,4,4,0,1,0,0
coron,8,100%,100,1,0,8,8,8,0,1,0,0
corona fall,4,100%,100,1,0,4,4,4,0,1,0,0
corona fallz,4,100%,100,1,0,4,4,4,0,1,0,0
corona fallzah,4,100%,100,1,0,4,4,4,0,1,0,0
corona fallzahle,4,100%,100,1,0,4,4,4,0,1,0,0
corona fallzahlen,4,100%,100,1,0,4,4,4,0,1,0,0
Corona,29,100%,100,1,0,29,29,29,0,1,0,0
corona,35,100%,100,1,0,35,35,35,0,1,0,0
cov,4,100%,100,1,0,4,4,4,0,1,0,0
covi,4,100%,100,1,0,4,4,4,0,1,0,0
covid,32,100%,100,1,0,32,32,32,0,1,0,0
Covid,7,100%,100,1,0,7,7,7,0,1,0,0
covid-,4,100%,100,1,0,4,4,4,0,1,0,0
covid-19,12,100%,100,1,0,12,12,12,0,1,0,0
E,7,100%,100,1,0,7,7,7,0,1,0,0
einfamilienhaus,4,100%,100,1,0,4,4,4,0,1,0,0
einkommen,5,100%,100,1,0,5,5,5,0,1,0,0
Einwohner,25,100%,100,1,0,25,25,25,0,1,0,0
einwohner,35,100%,100,1,0,35,35,35,0,1,0,0
Einwohnerzahl,11,100%,100,1,0,11,11,11,0,1,0,0
einwohnerzahl,5,100%,100,1,0,5,5,5,0,1,0,0
Elgg,5,100%,100,1,0,5,5,5,0,1,0,0
fahrzeug,6,100%,100,1,0,6,6,6,0,1,0,0
G,4,100%,100,1,0,4,4,4,0,1,0,0
gast,4,100%,100,1,0,4,4,4,0,1,0,0
gasta,4,100%,100,1,0,4,4,4,0,1,0,0
gastar,4,100%,100,1,0,4,4,4,0,1,0,0
gastarbei,6,100%,100,1,0,6,6,6,0,1,0,0
gastarbeit,4,100%,100,1,0,4,4,4,0,1,0,0
Gemeinde,12,100%,100,1,0,12,12,12,0,1,0,0
gemeinde,5,100%,100,1,0,5,5,5,0,1,0,0
Gemeindefusio,6,100%,100,1,0,6,6,6,0,1,0,0
