name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,87,52,18.66,27.296,2638,1,11,57,30,2%,19%,0.697,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-10-31
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,82,63,32.264,41.237,2176,7,22,53,27,13%,42%,1.038,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-10-31
steuerkraft-pro-kopf-fr,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,40,13.519,17.713,451,10,17,38,8,25%,43%,0.549,dimension2==steuerkraft-pro-kopf-fr,2020-10-31
restaurants-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,32,12.711,14.432,1426,0,7,38,29,0%,18%,0.55,dimension2==restaurants-anz,2020-10-31
wasserverbrauch-pro-tag-und-kopf-liter,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,47,36,18.15,21.119,481,12,16,37,10,32%,42%,0.707,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,2020-10-31
bevolkerungsdichte-einw-km2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,41,38,14.6,22.134,231,18,26,33,6,51%,74%,0.764,dimension2==bevolkerungsdichte-einw-km2,2020-10-31
jahresrechnungen-der-korperschaften-des-kantons-zurich,2016-12-13,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,53,28,33.074,35.259,2167,7,14,34,41,21%,41%,1.362,dimension2==jahresrechnungen-der-korperschaften-des-kantons-zurich,2020-10-31
restaurants-pro-1000-einwohner-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,47,28,8.283,11.294,1232,1,8,34,26,3%,24%,0.536,dimension2==restaurants-pro-1000-einwohner-anz,2020-10-31
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,29,21,10.115,14.914,1688,0,6,22,58,0%,26%,0.795,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-10-31
sterberate-pro-1000-einw,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,29,19,9.797,10.7,381,2,7,19,13,11%,37%,0.642,dimension2==sterberate-pro-1000-einw,2020-10-31
