name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_network,nb_hits_with_time_network,min_time_network,max_time_network,sum_time_server,nb_hits_with_time_server,min_time_server,max_time_server,sum_time_transfer,nb_hits_with_time_transfer,min_time_transfer,max_time_transfer,sum_time_dom_processing,nb_hits_with_time_dom_processing,min_time_dom_processing,max_time_dom_processing,sum_time_dom_completion,nb_hits_with_time_dom_completion,min_time_dom_completion,max_time_dom_completion,sum_time_on_load,nb_hits_with_time_on_load,min_time_on_load,max_time_on_load,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,31.03.2020,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,133,30,24.423,31.134,0.201,39,0.201,0.201,9.295,39,6.613,8.448,0.121,39,0.073,0.098,4.328,39,2.985,3.43,2.066,29,1.844,1.88,0.014,29,0.009,0.013,4712,5,18,89,35,6%,20%,1.34,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2021-02-28
bevolkerung-nach-gemeinde-heimat-geschlecht-und-alter,03.02.2020,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,142,73,15.182,27.212,0.086,10,0,0.05,2.944,10,1.419,2.284,0.086,10,0.023,0.083,1.703,10,0.571,1.116,0.519,4,0.519,0.519,0.006,4,0.006,0.006,4197,5,26,84,30,6%,30%,0.791,dimension2==bevolkerung-nach-gemeinde-heimat-geschlecht-und-alter,2021-02-28
covid_19-fallzahlen-kanton-zurich,05.03.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,95,67,28.77,44.116,0,9,0,0,2.227,9,2.227,2.227,0.056,9,0.056,0.056,1.079,9,1.079,1.079,0.114,3,0.114,0.114,0.006,3,0.006,0.006,629,17,34,73,7,21%,41%,1.274,dimension2==covid_19-fallzahlen-kanton-zurich,2021-02-28
wasserverbrauch-pro-tag-und-kopf-liter,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,86,55,14.556,24.402,0,8,0,0,1.562,8,0.442,1.082,0.159,8,0.017,0.149,0.614,8,0.183,0.414,0.258,4,0.216,0.224,0.004,4,0.003,0.004,1882,17,30,62,22,27%,48%,0.792,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,2021-02-28
bevolkerungsdichte-einw-km2,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,44,41,27.991,37.303,0,1,0,0,0.462,1,0.462,0.462,0.014,1,0.014,0.014,0.434,1,0.434,0.434,0.346,1,0.346,0.346,0.001,1,0.001,0.001,417,10,15,37,9,27%,41%,1.151,dimension2==bevolkerungsdichte-einw-km2,2021-02-28
steuerkraft-pro-kopf-fr,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,46,28,13.85,18.038,0,3,0,0,0.922,3,0.922,0.922,0.007,3,0.007,0.007,0.159,3,0.159,0.159,0.113,3,0.113,0.113,0,3,0,0,320,7,15,34,7,21%,44%,0.925,dimension2==steuerkraft-pro-kopf-fr,2021-02-28
web-service-des-geschaftsverwaltungssystems-des-kantonsrates-des-kantons-zurich,08.12.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,46,25,7.54,11.972,0,1,0,0,0.186,1,0.186,0.186,0.001,1,0.001,0.001,0.072,1,0.072,0.072,0.032,1,0.032,0.032,0.001,1,0.001,0.001,3127,1,7,23,68,4%,27%,0.625,dimension2==web-service-des-geschaftsverwaltungssystems-des-kantonsrates-des-kantons-zurich,2021-02-28
restaurants-pro-1000-einwohner-anz,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,12,7.914,9.133,0.104,4,0.104,0.104,1.135,4,0.786,0.807,0.012,4,0.01,0.012,0.578,4,0.477,0.519,0.422,4,0.374,0.396,0.01,4,0.008,0.009,711,0,3,26,22,0%,12%,0.855,dimension2==restaurants-pro-1000-einwohner-anz,2021-02-28
maturitatsquoten-im-kanton-zurich,06.03.2020,bildungsstatistik-kanton-zuerich,https://opendata.swiss/organization/bildungsstatistik-kanton-zuerich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,16,11.755,16.08,0,1,0,0,0.313,1,0.313,0.313,0.004,1,0.004,0.004,0.134,1,0.134,0.134,0.128,1,0.128,0.128,0,1,0,0,1189,0,1,22,44,0%,5%,1.257,dimension2==maturitatsquoten-im-kanton-zurich,2021-02-28
bevolkerung-pers,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,28,12,10.965,11.705,0,3,0,0,0.295,3,0.145,0.295,0.127,3,0.114,0.126,0.501,3,0.372,0.422,0.324,2,0.324,0.324,0.005,2,0.005,0.005,336,0,4,22,12,0%,18%,1.153,dimension2==bevolkerung-pers,2021-02-28
jahresrechnungen-der-korperschaften-des-kantons-zurich,13.12.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,12,5.306,7.806,0,3,0,0,0.892,3,0.892,0.892,0.015,3,0.015,0.015,0.171,3,0.171,0.171,0.164,2,0.164,0.164,0.002,2,0.002,0.002,234,5,10,18,11,26%,53%,0.982,dimension2==jahresrechnungen-der-korperschaften-des-kantons-zurich,2021-02-28
restaurants-anz,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,18,5.311,11.248,0,3,0,0,0.543,3,0.31,0.543,0.384,3,0.036,0.36,0.383,3,0.311,0.324,0.209,2,0.209,0.209,0.004,2,0.004,0.004,451,0,2,17,20,0%,12%,0.763,dimension2==restaurants-anz,2021-02-28
ubersicht-uber-alle-lernenden-im-kanton-zurich,02.12.2019,bildungsstatistik-kanton-zuerich,https://opendata.swiss/organization/bildungsstatistik-kanton-zuerich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,13,3.859,5.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,0,2,14,74,0%,14%,0.88,dimension2==ubersicht-uber-alle-lernenden-im-kanton-zurich,2021-02-28
