name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
covid_19-fallzahlen-kanton-zuerich,2020-03-05,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574,4742,3900,132.805,398.799,68596,1172,1829,3373,00:00:14,33%,51%,0.87s,dimension2==covid_19-fallzahlen-kanton-zuerich,2020-11-18
covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,2020-03-16,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,247,173,61.695,86.965,5633,8,42,163,00:00:23,5%,25%,0.79s,dimension2==covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,2020-11-18
covid_19-belegung-intensivpflege-kanton-zuerich,2020-11-06,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,164,116,18.418,38.95,2647,17,35,107,00:00:16,15%,32%,0.69s,dimension2==covid_19-belegung-intensivpflege-kanton-zuerich,2020-11-18
web-analytics-der-open-government-data-des-kantons-zuerich,2018-12-11,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,108,88,20.953,45.831,2430,25,48,88,00:00:23,28%,55%,1.05s,dimension2==web-analytics-der-open-government-data-des-kantons-zuerich,2020-11-18
bevoelkerung-nach-gemeinde-heimat-geschlecht-und-alter,2020-02-03,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,130,78,32.227,44.515,5961,9,21,87,00:00:46,10%,24%,0.75s,dimension2==bevoelkerung-nach-gemeinde-heimat-geschlecht-und-alter,2020-11-18
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,83,57,31.752,44.23,2670,10,21,61,00:00:32,16%,34%,1.09s,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-11-18
bevolkerungsdichte-einw-km2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,81,56,23.675,34.548,1404,9,22,57,00:00:17,15%,37%,0.8s,dimension2==bevolkerungsdichte-einw-km2,2020-11-18
covid_19-contact-tracing-kanton-zuerich,2020-08-13,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,84,56,20.275,28.946,2754,3,14,57,00:00:33,5%,24%,0.74s,dimension2==covid_19-contact-tracing-kanton-zuerich,2020-11-18
covid_19-fallzahlen-kanton-zuerich,2020-03-05,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,92,66,23.941,30.924,3681,0,8,57,00:00:40,0%,14%,0.63s,dimension2==covid_19-fallzahlen-kanton-zuerich,2020-11-18
covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,2020-03-16,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,64,41,20.071,24.421,816,0,10,47,00:00:13,0%,21%,0.71s,dimension2==covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,2020-11-18
