label,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,idsubdatatable,segment
671@gesundheitsdirektion-kanton-zuerich,35173,50695,29596,25.496,733.759,2940599,1928,7967,35257,58,5%,23%,0.428,1,dimension9==671%40gesundheitsdirektion-kanton-zuerich
706@gesundheitsdirektion-kanton-zuerich,2585,3303,2309,10.259999999999996,276.064,187822,210,631,2485,57,8%,24%,0.587,73,dimension9==706%40gesundheitsdirektion-kanton-zuerich
699@gesundheitsdirektion-kanton-zuerich,635,756,601,13.543000000000001,107.598,52631,53,171,609,70,8%,27%,0.598,3,dimension9==699%40gesundheitsdirektion-kanton-zuerich
696@gesundheitsdirektion-kanton-zuerich,420,564,339,22.727,57.366,32128,31,98,410,57,7%,23%,0.421,2,dimension9==696%40gesundheitsdirektion-kanton-zuerich
691@statistisches-amt-kanton-zuerich,344,382,297,22.569000000000003,64.806,36340,11,68,339,95,3%,20%,0.49,4,dimension9==691%40statistisches-amt-kanton-zuerich
673@fachstelle-ogd-kanton-zuerich,332,429,311,12.869000000000002,53.758,20476,14,74,322,48,4%,22%,0.48,5,dimension9==673%40fachstelle-ogd-kanton-zuerich
707@statistisches-amt-kanton-zuerich,282,366,258,18.929,48.848000000000006,17357,19,89,280,47,7%,32%,0.593,74,dimension9==707%40statistisches-amt-kanton-zuerich
10001@statistisches-amt-kanton-zuerich,103,139,98,5.676,10.163,8277,5,23,107,60,5%,22%,0.339,12,dimension9==10001%40statistisches-amt-kanton-zuerich
708@statistisches-amt-kanton-zuerich,83,117,67,3.459,4.071000000000001,6527,5,23,82,56,6%,28%,0.081,117,dimension9==708%40statistisches-amt-kanton-zuerich
705@statistisches-amt-kanton-zuerich,76,99,76,10.091,11.582,6297,0,9,76,64,0%,12%,0.21,51,dimension9==705%40statistisches-amt-kanton-zuerich
10002@statistisches-amt-kanton-zuerich,65,74,52,14.721,23.682000000000002,5216,3,18,64,70,5%,28%,0.613,9,dimension9==10002%40statistisches-amt-kanton-zuerich
503@staatsarchiv-kanton-zuerich,62,73,54,6.292,18.970000000000002,7965,11,29,61,109,18%,47%,0.497,34,dimension9==503%40staatsarchiv-kanton-zuerich
68@statistisches-amt-kanton-zuerich,58,89,62,7.961,9.876,3150,5,16,57,35,9%,28%,0.25,32,dimension9==68%40statistisches-amt-kanton-zuerich
544@oberjugendanwaltschaft-kanton-zuerich,58,96,36,5.810999999999999,7.877999999999998,4449,3,12,53,46,5%,21%,0.347,72,dimension9==544%40oberjugendanwaltschaft-kanton-zuerich
204@statistisches-amt-kanton-zuerich,50,68,58,10.171,11.931000000000001,3158,0,8,49,46,0%,16%,0.276,11,dimension9==204%40statistisches-amt-kanton-zuerich
675@statistisches-amt-kanton-zuerich,50,60,52,19.277,29.753,4124,6,20,48,69,12%,40%,0.836,14,dimension9==675%40statistisches-amt-kanton-zuerich
31@statistisches-amt-kanton-zuerich,43,50,33,6.336,6.795,2745,0,6,40,55,0%,14%,0.239,58,dimension9==31%40statistisches-amt-kanton-zuerich
690@statistisches-amt-kanton-zuerich,42,75,45,11.731,14.216999999999999,4793,1,8,41,64,2%,19%,0.505,21,dimension9==690%40statistisches-amt-kanton-zuerich
254@statistisches-amt-kanton-zuerich,38,64,43,4.59,4.944000000000001,2608,0,6,38,41,0%,16%,0.162,22,dimension9==254%40statistisches-amt-kanton-zuerich
20001@fachstelle-ogd-kanton-zuerich,38,39,27,10.093,10.905,1729,1,9,38,44,3%,24%,0.451,16,dimension9==20001%40fachstelle-ogd-kanton-zuerich
47@statistisches-amt-kanton-zuerich,36,114,46,0.406,1.105,4435,0,8,40,39,0%,22%,0.06,65,dimension9==47%40statistisches-amt-kanton-zuerich
127@statistisches-amt-kanton-zuerich,36,47,29,3.171,3.813,4357,0,6,35,93,0%,17%,0.161,8,dimension9==127%40statistisches-amt-kanton-zuerich
672@bildungsstatistik-kanton-zuerich,33,46,30,22.617,24.349,1847,0,6,30,40,0%,18%,1.148,40,dimension9==672%40bildungsstatistik-kanton-zuerich
693@statistisches-amt-kanton-zuerich,33,69,42,8.455,9.767000000000001,3672,0,2,33,53,0%,6%,0.501,18,dimension9==693%40statistisches-amt-kanton-zuerich
54@statistisches-amt-kanton-zuerich,30,38,31,6.865,7.542,3851,0,4,29,101,0%,13%,0.353,15,dimension9==54%40statistisches-amt-kanton-zuerich
62@statistisches-amt-kanton-zuerich,28,38,22,4.604,4.604,146,0,5,28,4,0%,18%,0.209,57,dimension9==62%40statistisches-amt-kanton-zuerich
694@statistisches-amt-kanton-zuerich,25,40,24,4.811,5.713,1171,0,3,25,29,0%,12%,0.377,152,dimension9==694%40statistisches-amt-kanton-zuerich
20002@fachstelle-ogd-kanton-zuerich,25,29,21,5.685,5.959,1616,1,6,25,56,4%,24%,0.346,13,dimension9==20002%40fachstelle-ogd-kanton-zuerich
524@bildungsstatistik-kanton-zuerich,22,32,23,15.631999999999998,19.189,1257,1,2,20,39,5%,9%,1.443,41,dimension9==524%40bildungsstatistik-kanton-zuerich
